"Station Name","PETERBOROUGH"
"Province","ONTARIO"
"Latitude","44.28"
"Longitude","-78.32"
"Elevation","193.50"
"Climate Identifier","6166416"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"B","More than one occurrence and estimated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Month","Day","Average Max. Temp. (°C)","Average Min. Temp. (°C)","Frequency of Precip. (%)","Highest Temp. (°C)","Highest Temp.Year","Highest Temp. Period","Highest Temp. Data Quality","Lowest Temp. (°C)","Lowest Temp. Year","Lowest Temp. Period","Lowest Temp. Data Quality","Greatest Precip. (mm)","Greatest Precip. Year","Greatest Precip. Period","Greatest Precip. Data Quality","Greatest Rainfall (mm)","Greatest Rainfall Year","Greatest Rainfall Period","Greatest Rainfall Data Quality","Greatest Snowfall (cm)","Greatest Snowfall Year","Greatest Snowfall Period","Greatest Snowfall Data Quality","Most Snow on the Ground (cm)","Most Snow on the Ground Year","Most Snow on the Ground Period","Most Snow on the Ground Data Quality"
"1","1","","","","6.7","1872","1867-1970",,"-28.3","1947","1867-1970",,"16.8","1868","1867-1970",,"11.2","1955","1867-1970",,"16.8","1868","1867-1970",,"","","-",
"1","2","","","","7.2","1897","1867-1970",,"-27.2","1922","1867-1970",,"16.0","1937","1867-1970",,"7.9","1937","1867-1970",,"12.2","1932","1867-1970",,"","","-",
"1","3","","","","11.1","1950","1867-1970",,"-30.6","1887","1867-1970",,"23.9","1873","1867-1970",,"18.0","1951","1867-1970",,"23.9","1873","1867-1970",,"","","-",
"1","4","","","","12.8","1950","1867-1970",,"-31.1","1871","1867-1970",,"26.7","1899","1867-1970",,"26.7","1899","1867-1970",,"12.7","1922","1867-1970",,"","","-",
"1","5","","","","12.8","1874","1867-1970",,"-32.2","1904","1867-1970",,"33.0","1929","1867-1970",,"33.0","1929","1867-1970",,"13.5","1940","1867-1970",,"","","-",
"1","6","","","","12.2","1946","1868-1970",,"-33.9","1945","1868-1970",,"12.7","1969","1867-1970",,"10.7","1932","1867-1970",,"12.7","1969","1867-1970",,"","","-",
"1","7","","","","8.9","1946","1867-1970",,"-32.2","1871","1867-1970",,"35.6","1905","1867-1970",,"22.1","1874","1867-1970",,"35.6","1905","1867-1970",,"","","-",
"1","8","","","","10.0","1928","1867-1970",,"-30.0","1968","1867-1970",,"27.7","1937","1867-1970",,"27.7","1937","1867-1970",,"19.1","1948","1867-1970",,"","","-",
"1","9","","","","11.1","1937","1867-1970",,"-34.4","1968","1867-1970",,"38.1","1912","1867-1970",,"12.7","1946","1867-1970",,"38.1","1912","1867-1970",,"","","-",
"1","10","","","","8.3","1950","1867-1970",,"-32.8","1945","1867-1970",,"20.3","1886","1867-1970",,"18.5","1950","1867-1970",,"20.3","1886","1867-1970",,"","","-",
"1","11","","","","7.8","1933","1867-1970",,"-32.8","1893","1867-1970",,"23.9","1878","1867-1970",,"23.9","1878","1867-1970",,"15.2","1902","1867-1970",,"","","-",
"1","12","","","","7.2","1932","1867-1970",,"-33.3","1886","1867-1970",,"27.9","1903","1867-1970",,"14.5","1885","1867-1970",,"27.9","1903","1867-1970",,"","","-",
"1","13","","","","12.8","1950","1868-1970",,"-35.6","1914","1868-1970",,"27.2","1937","1867-1970",,"27.2","1937","1867-1970",,"17.8","1918","1867-1970",,"","","-",
"1","14","","","","13.3","1932","1867-1970",,"-33.3","1914","1867-1970",,"28.7","1940","1867-1970",,"25.7","1899","1867-1970",,"13.5","1946","1867-1970",,"","","-",
