"Station Name","TORONTO"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158350"
"WMO Identifier","71266"
"TC Identifier",""

"Legend"
"A","Accumulated"
"B","More than one occurrence and estimated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"","Data for this day has undergone only preliminary quality checking"
"","Partner data that is not subject to review by the National Climate Archives"

"Month","Day","Average Max. Temp. (°C)","Average Min. Temp. (°C)","Frequency of Precip. (%)","Highest Temp. (°C)","Highest Temp.Year","Highest Temp. Period","Highest Temp. Data Quality","Lowest Temp. (°C)","Lowest Temp. Year","Lowest Temp. Period","Lowest Temp. Data Quality","Greatest Precip. (mm)","Greatest Precip. Year","Greatest Precip. Period","Greatest Precip. Data Quality","Greatest Rainfall (mm)","Greatest Rainfall Year","Greatest Rainfall Period","Greatest Rainfall Data Quality","Greatest Snowfall (cm)","Greatest Snowfall Year","Greatest Snowfall Period","Greatest Snowfall Data Quality","Most Snow on the Ground (cm)","Most Snow on the Ground Year","Most Snow on the Ground Period","Most Snow on the Ground Data Quality"
"1","1","-0.3","-6.3","50.0","14.4","1876","1841-2003",,"-21.1","1899","1841-2003",,"52.3","1932","1846-2015",,"29.5","1932","1841-2015",,"22.9","1932","1846-2015",,"31","2001","1955-2015",
"1","2","-0.4","-6.4","50.0","12.9","2000","1841-2003",,"-25.6","1887","1841-2003",,"52.0","1999","1846-2015",,"25.4","1870","1841-2015",,"38.0","1999","1846-2015",,"31","2001","1955-2015",
"1","3","-0.5","-6.5","50.0","12.2","1950","1841-2003",,"-27.2","1887","1841-2003",,"24.1","1907","1846-2015",,"24.1","1907","1841-2015",,"15.7","1924","1846-2015",,"35","1999","1955-2015",
"1","4","-0.6","-6.6","50.0","14.4","1874","1841-2003",,"-26.9","1981","1841-2003",,"33.0","1886","1846-2015",,"33.0","1886","1841-2015",,"10.2","1952","1846-2015",,"29","1999","1955-2015",
"1","5","-0.6","-6.7","50.0","11.1","1946","1841-2003",,"-23.3","1904","1841-2003",,"30.5","1929","1846-2015",,"30.5","1929","1841-2015",,"18.8","1873","1846-2015",,"34","2001","1955-2015",
"1","6","-0.7","-6.8","50.0","13.9","1946","1841-2003",,"-23.9","1896","1841-2003",,"19.1","1950","1846-2015",,"48.3","1841","1841-2015",,"19.1","1950","1846-2015",,"33","2001","1955-2015",
"1","7","-0.8","-6.9","50.0","8.9","1855","1841-2003",,"-25.0","1866","1841-2003",,"26.2","1998","1846-2015",,"26.2","1998","1841-2015",,"16.8","1905","1846-2015",,"33","2001","1955-2015",
"1","8","-0.8","-7.0","50.0","11.7","1937","1841-2003",,"-25.6","1866","1841-2003",,"34.8","1935","1846-2015",,"34.8","1935","1841-2015",,"28.2","1884","1846-2015",,"33","2001","1955-2015",
"1","9","-0.9","-7.1","50.0","12.2","1965","1841-2003",,"-24.4","1856","1841-2003",,"20.3","1887","1846-2015",,"17.8","1964","1841-2015",,"20.3","1887","1846-2015",,"34","1999","1955-2015",
"1","10","-1.0","-7.2","50.0","12.2","1975","1841-2003",,"-32.8","1859","1841-2003",,"23.1","1878","1846-2015",,"23.9","1843","1841-2015",,"17.8","1865","1846-2015",,"33","1999","1955-2015",
"1","11","-1.0","-7.3","50.0","12.2","1880","1841-2003",,"-27.8","1893","1841-2003",,"21.6","1991","1846-2015",,"19.2","1980","1841-2015",,"19.1","1923","1846-2015",,"33","1977","1955-2015",
"1","12","-1.1","-7.3","50.0","10.6","1932","1841-2003",,"-25.6","1877","1841-2003",,"25.1","2013","1846-2015","","36.1","1844","1841-2015",,"21.0","1999","1846-2015",,"40","1999","1955-2015",
"1","13","-1.1","-7.4","50.0","13.3","1932","1841-2003",,"-30.0","1914","1841-2003",,"42.4","1937","1846-2015",,"42.4","1937","1841-2015",,"13.7","1976","1846-2015",,"57","1999","1955-2015",
"1","14","-1.2","-7.5","50.0","14.7","1995","1841-2003",,"-25.0","1914","1841-2003",,"33.8","1899","1846-2015",,"33.8","1899","1841-2015",,"26.6","1999","1846-2015",,"52","1999","1955-2015",
"1","15","-1.2","-7.5","50.0","11.1","1953","1841-2003",,"-24.8","1994","1841-2003",,"44.8","1995","1846-2015",,"44.8","1995","1841-2015",,"29.2","1968","1846-2015",,"65","1999","1955-2015",
"1","16","-1.2","-7.6","50.0","11.1","1949","1841-2003",,"-25.9","1994","1841-2003",,"26.9","1924","1846-2015",,"25.4","1924","1841-2015",,"25.4","1920","1846-2015",,"55","1999","1955-2015",
"1","17","-1.3","-7.6","50.0","11.1","1913","1841-2003",,"-27.2","1857","1841-2003",,"33.0","2006","1846-2015",,"33.0","2006","1841-2015",,"15.2","1883","1846-2015",,"52","1999","1955-2015",
"1","18","-1.3","-7.6","50.0","13.4","1996","1841-2003",,"-27.8","1857","1841-2003",,"34.5","1929","1846-2015",,"34.5","1929","1841-2015",,"26.7","1895","1846-2015",,"45","1999","1955-2015",
