month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
1,1,-0.3,-6.3,14.4,1876,1841-2003,-21.1,1899,1841-2003
1,2,-0.4,-6.4,12.9,2000,1841-2003,-25.6,1887,1841-2003
1,3,-0.5,-6.5,12.2,1950,1841-2003,-27.2,1887,1841-2003
1,4,-0.6,-6.6,14.4,1874,1841-2003,-26.9,1981,1841-2003
1,5,-0.6,-6.7,11.1,1946,1841-2003,-23.3,1904,1841-2003
1,6,-0.7,-6.8,13.9,1946,1841-2003,-23.9,1896,1841-2003
1,7,-0.8,-6.9,8.9,1855,1841-2003,-25.0,1866,1841-2003
1,8,-0.8,-7.0,11.7,1937,1841-2003,-25.6,1866,1841-2003
1,9,-0.9,-7.1,12.2,1965,1841-2003,-24.4,1856,1841-2003
1,10,-1.0,-7.2,12.2,1975,1841-2003,-32.8,1859,1841-2003
1,11,-1.0,-7.3,12.2,1880,1841-2003,-27.8,1893,1841-2003
1,12,-1.1,-7.3,10.6,1932,1841-2003,-25.6,1877,1841-2003
1,13,-1.1,-7.4,13.3,1932,1841-2003,-30.0,1914,1841-2003
1,14,-1.2,-7.5,14.7,1995,1841-2003,-25.0,1914,1841-2003
1,15,-1.2,-7.5,11.1,1953,1841-2003,-24.8,1994,1841-2003
1,16,-1.2,-7.6,11.1,1949,1841-2003,-25.9,1994,1841-2003
1,17,-1.3,-7.6,11.1,1913,1841-2003,-27.2,1857,1841-2003
1,18,-1.3,-7.6,13.4,1996,1841-2003,-27.8,1857,1841-2003
1,19,-1.3,-7.7,12.8,1933,1841-2003,-23.9,1852,1841-2003
1,20,-1.4,-7.7,11.7,1921,1841-2003,-23.3,1892,1841-2003
1,21,-1.4,-7.7,13.3,1906,1841-2003,-25.0,1857,1841-2003
1,22,-1.4,-7.7,13.9,1906,1841-2003,-28.9,1857,1841-2003
1,23,-1.4,-7.7,13.9,1967,1841-2003,-27.2,1857,1841-2003
1,24,-1.4,-7.7,13.9,1909,1841-2003,-27.2,1882,1841-2003
1,25,-1.4,-7.7,16.1,1967,1841-2003,-25.0,1884,1841-2003
1,26,-1.4,-7.7,11.7,1950,1841-2003,-27.2,1927,1841-2003
1,27,-1.4,-7.7,10.4,2002,1841-2003,-23.9,1925,1841-2003
1,28,-1.4,-7.6,11.1,1916,1841-2003,-25.0,1873,1841-2003
1,29,-1.3,-7.6,12.2,1914,1841-2003,-27.8,1873,1841-2003
1,30,-1.3,-7.6,10.0,1914,1841-2003,-25.6,1898,1841-2003
1,31,-1.3,-7.5,12.0,1988,1841-2003,-27.8,1920,1841-2003
2,1,-1.3,-7.5,7.2,1933,1841-2003,-22.8,1860,1841-2003
