month,day,T_high_avg,T_low_avg,T_max,T_max_year,period_T_high,T_min,T_min_year,period_T_low
1,1,-22.7,-30.6,-1.1,1975,1943-2013,-48.3,1954,1943-2013
1,2,-22.8,-30.7,-2.2,2006,1943-2013,-47.8,1954,1943-2013
1,3,-22.9,-30.8,3.4,1985,1943-2013,-46.1,1954,1943-2013
1,4,-22.9,-30.9,-3.9,2006,1943-2013,-45.6,1954,1943-2013
1,5,-23.0,-30.9,-4.2,2003,1943-2013,-47.8,1954,1943-2013
1,6,-23.0,-31.0,1.5,2003,1943-2013,-45.0,1956,1943-2013
1,7,-23.1,-31.1,2.8,1958,1943-2013,-43.9,1972,1943-2013
1,8,-23.1,-31.1,-1.7,1958,1943-2013,-45.0,1966,1943-2013
1,9,-23.2,-31.1,2.8,1943,1943-2013,-46.7,1966,1943-2013
1,10,-23.2,-31.2,0.3,1987,1943-2013,-45.6,1966,1943-2013
1,11,-23.2,-31.2,-5.7,2002,1943-2013,-43.3,1965,1943-2013
1,12,-23.2,-31.2,-7.3,2002,1943-2013,-45.6,1946,1943-2013
1,13,-23.2,-31.2,-7.3,2002,1943-2013,-45.0,1946,1943-2013
1,14,-23.2,-31.2,-7.1,1984,1943-2013,-46.1,1962,1943-2013
1,15,-23.1,-31.2,-1.1,1957,1943-2013,-46.7,1952,1943-2013
1,16,-23.1,-31.2,-1.1,1957,1943-2013,-46.1,1967,1943-2013
1,17,-23.0,-31.2,1.7,1965,1943-2012,-45.6,1952,1943-2012
1,18,-23.0,-31.1,-3.3,1965,1944-2012,-44.4,1943,1943-2012
1,19,-22.9,-31.1,-1.6,2009,1944-2012,-46.1,1943,1943-2012
1,20,-22.8,-31.1,0.6,1981,1943-2012,-45.0,1952,1943-2012
1,21,-22.8,-31.0,-0.7,1981,1943-2012,-45.6,1966,1943-2012
1,22,-22.7,-30.9,0.7,1981,1943-2012,-43.3,1949,1943-2012
1,23,-22.6,-30.9,-0.8,1981,1943-2012,-46.7,1974,1943-2012
1,24,-22.4,-30.8,-3.5,1981,1943-2012,-43.9,1971,1943-2012
