date,T_high,T_low,h_rain,h_snow,h_all_precip
2014-01-01,,,0.0,11.0,0.0
2014-01-02,,,0.0,33.0,1.4
2014-01-03,,,0.0,0.0,0.0
2014-01-04,,,0.0,13.0,2.0
2014-01-05,,,0.0,30.0,13.0
2014-01-06,,,0.0,14.0,0.4
2014-01-07,,,0.0,0.0,0.0
2014-01-08,,,0.0,0.0,0.0
2014-01-09,,,0.0,28.0,2.1
2014-01-10,,,8.8,0.0,8.8
2014-01-11,,,0.0,0.0,0.0
2014-01-12,,,2.8,0.0,2.8
2014-01-13,,,0.4,0.0,0.4
2014-01-14,,,0.0,0.0,0.0
2014-01-15,,,0.0,0.0,0.0
2014-01-16,,,0.0,26.0,1.8
2014-01-17,,,0.0,14.0,0.5
2014-01-18,,,0.0,0.0,0.4
2014-01-19,,,0.0,20.0,2.1
2014-01-20,,,0.0,0.0,0.0
2014-01-21,,,0.0,0.0,0.0
2014-01-22,,,0.0,0.0,0.0
2014-01-23,,,0.0,0.0,0.0
2014-01-24,,,0.0,42.0,2.8
2014-01-25,,,0.0,15.0,0.9
2014-01-26,,,0.0,61.0,4.3
2014-01-27,,,0.0,8.0,0.9
2014-01-28,,,0.0,0.0,0.0
2014-01-29,,,0.0,0.0,0.0
2014-01-30,,,0.0,0.0,0.0
2014-01-31,,,0.0,18.0,1.6
2014-02-01,,,2.4,70.0,13.3
2014-02-02,,,0.0,0.0,0.0
2014-02-03,,,0.0,0.0,0.0
2014-02-04,,,0.0,49.0,4.8
2014-02-05,,,0.0,172.0,6.6
2014-02-06,,,0.0,0.0,0.0
2014-02-07,,,0.0,0.0,0.0
2014-02-08,,,0.0,0.0,0.0
2014-02-09,,,0.0,14.0,2.2
2014-02-10,,,0.0,0.0,0.0
2014-02-11,,,0.0,0.0,0.0
2014-02-12,,,0.0,0.0,0.0
2014-02-13,,,0.0,0.0,0.0
2014-02-14,,,0.0,0.0,0.0
2014-02-15,,,0.0,0.0,0.0
2014-02-16,,,0.0,0.0,0.0
2014-02-17,,,0.0,74.0,6.3
2014-02-18,,,0.0,0.0,0.0
2014-02-19,,,0.6,0.0,0.6
2014-02-20,,,23.0,0.0,23.0
2014-02-21,,,1.2,0.0,1.2
2014-02-22,,,0.0,0.0,0.0
2014-02-23,,,0.0,0.0,0.0
2014-02-24,,,0.0,0.0,0.0
2014-02-25,,,0.0,0.0,0.0
2014-02-26,,,0.0,0.0,0.0
2014-02-27,,,0.0,0.0,0.0
2014-02-28,,,0.0,0.0,0.0
2014-03-01,,,0.0,58.0,5.9
2014-03-02,,,0.0,0.0,0.0
2014-03-03,,,0.0,0.0,0.0
2014-03-04,,,0.0,12.0,0.6
2014-03-05,,,0.0,14.0,0.8
2014-03-06,,,0.0,0.0,0.0
2014-03-07,,,0.0,0.0,0.0
2014-03-08,,,0.0,0.0,0.0
2014-03-09,,,0.0,0.0,0.0
2014-03-10,,,0.0,0.0,0.0
2014-03-11,,,0.0,6.0,1.2
2014-03-12,,,0.0,176.0,13.4
2014-03-13,,,0.0,0.0,0.0
2014-03-14,,,0.0,0.0,0.0
2014-03-15,,,0.0,0.0,0.0
2014-03-16,,,0.0,0.0,0.0
2014-03-17,,,0.0,0.0,0.0
2014-03-18,,,0.8,0.0,0.8
2014-03-19,,,0.2,0.0,0.2
2014-03-20,,,6.8,0.0,6.8
2014-03-21,,,0.0,0.0,0.0
2014-03-22,,,0.0,0.0,0.0
2014-03-23,,,0.0,0.0,0.0
2014-03-24,,,0.0,0.0,0.0
2014-03-25,,,0.0,0.0,0.0
2014-03-26,,,0.2,0.0,0.2
2014-03-27,,,0.0,0.0,0.0
2014-03-28,,,0.8,0.0,0.8
2014-03-29,,,0.0,0.0,0.0
2014-03-30,,,0.0,0.0,0.0
2014-03-31,,,0.0,0.0,0.0
2014-04-01,,,0.0,0.0,0.0
2014-04-02,,,0.0,0.0,0.0
2014-04-03,,,1.9,0.0,1.9
2014-04-04,,,15.7,0.0,15.7
2014-04-05,,,0.0,0.0,0.0
2014-04-06,,,0.0,0.0,0.0
2014-04-07,,,21.4,0.0,21.4
2014-04-08,,,0.0,0.0,0.0
2014-04-09,,,0.0,0.0,0.0
2014-04-10,,,0.0,0.0,0.0
2014-04-11,,,0.0,0.0,0.0
2014-04-12,,,8.4,0.0,8.4
2014-04-13,,,0.0,0.0,0.0
2014-04-14,,,17.4,29.0,21.7
2014-04-15,,,,,
2014-04-16,,,,,
2014-04-17,,,,,
2014-04-18,,,,,
2014-04-19,,,,,
2014-04-20,,,,,
2014-04-21,,,,,
2014-04-22,,,,,
2014-04-23,,,,,
2014-04-24,,,,,
2014-04-25,,,,,
2014-04-26,,,,,
2014-04-27,,,,,
2014-04-28,,,,,
2014-04-29,,,,,
2014-04-30,,,,,
2014-05-01,,,,,
2014-05-02,,,,,
2014-05-03,,,,,
2014-05-04,,,,,
2014-05-05,,,,,
2014-05-06,,,,,
2014-05-07,,,,,
2014-05-08,,,,,
2014-05-09,,,,,
2014-05-10,,,,,
2014-05-11,,,,,
2014-05-12,,,,,
2014-05-13,,,,,
2014-05-14,,,,,
2014-05-15,,,,,
2014-05-16,,,,,
2014-05-17,,,,,
2014-05-18,,,,,
2014-05-19,,,,,
2014-05-20,,,,,
2014-05-21,,,,,
2014-05-22,,,,,
2014-05-23,,,,,
2014-05-24,,,,,
2014-05-25,,,,,
2014-05-26,,,,,
2014-05-27,,,,,
2014-05-28,,,,,
2014-05-29,,,,,
2014-05-30,,,,,
2014-05-31,,,,,
2014-06-01,,,,,
2014-06-02,,,,,
2014-06-03,,,,,
2014-06-04,,,,,
2014-06-05,,,,,
2014-06-06,,,,,
2014-06-07,,,,,
2014-06-08,,,,,
2014-06-09,,,,,
2014-06-10,,,,,
2014-06-11,,,,,
2014-06-12,,,,,
2014-06-13,,,,,
2014-06-14,,,,,
2014-06-15,,,,,
2014-06-16,,,,,
2014-06-17,,,,,
2014-06-18,,,,,
2014-06-19,,,,,
2014-06-20,,,,,
2014-06-21,,,,,
2014-06-22,,,,,
2014-06-23,,,,,
2014-06-24,,,,,
2014-06-25,,,,,
2014-06-26,,,,,
2014-06-27,,,,,
2014-06-28,,,,,
2014-06-29,,,,,
2014-06-30,,,,,
2014-07-01,,,,,
2014-07-02,,,,,
2014-07-03,,,,,
2014-07-04,,,,,
2014-07-05,,,,,
2014-07-06,,,,,
2014-07-07,,,,,
2014-07-08,,,,,
2014-07-09,,,,,
2014-07-10,,,,,
2014-07-11,,,,,
2014-07-12,,,,,
2014-07-13,,,,,
2014-07-14,,,,,
2014-07-15,,,,,
2014-07-16,,,,,
2014-07-17,,,,,
2014-07-18,,,,,
2014-07-19,,,,,
2014-07-20,,,,,
2014-07-21,,,,,
2014-07-22,,,,,
2014-07-23,,,,,
2014-07-24,,,,,
2014-07-25,,,,,
2014-07-26,,,,,
2014-07-27,,,,,
2014-07-28,,,,,
2014-07-29,,,,,
2014-07-30,,,,,
2014-07-31,,,,,
2014-08-01,,,,,
2014-08-02,,,,,
2014-08-03,,,,,
2014-08-04,,,,,
2014-08-05,,,,,
2014-08-06,,,,,
2014-08-07,,,,,
2014-08-08,,,,,
2014-08-09,,,,,
2014-08-10,,,,,
2014-08-11,,,,,
2014-08-12,,,,,
2014-08-13,,,,,
2014-08-14,,,,,
2014-08-15,,,,,
2014-08-16,,,,,
2014-08-17,,,,,
2014-08-18,,,,,
2014-08-19,,,,,
2014-08-20,,,,,
2014-08-21,,,,,
2014-08-22,,,,,
2014-08-23,,,,,
2014-08-24,,,,,
2014-08-25,,,,,
2014-08-26,,,,,
2014-08-27,,,,,
2014-08-28,,,,,
2014-08-29,,,,,
2014-08-30,,,,,
2014-08-31,,,,,
2014-09-01,,,,,
2014-09-02,,,,,
2014-09-03,,,,,
2014-09-04,,,,,
2014-09-05,,,,,
2014-09-06,,,,,
2014-09-07,,,,,
2014-09-08,,,,,
2014-09-09,,,,,
2014-09-10,,,,,
2014-09-11,,,,,
2014-09-12,,,,,
2014-09-13,,,,,
2014-09-14,,,,,
2014-09-15,,,,,
2014-09-16,,,,,
2014-09-17,,,,,
2014-09-18,,,,,
2014-09-19,,,,,
2014-09-20,,,,,
2014-09-21,,,,,
2014-09-22,,,,,
2014-09-23,,,,,
2014-09-24,,,,,
2014-09-25,,,,,
2014-09-26,,,,,
2014-09-27,,,,,
2014-09-28,,,,,
2014-09-29,,,,,
2014-09-30,,,,,
2014-10-01,,,,,
2014-10-02,,,,,
2014-10-03,,,,,
2014-10-04,,,,,
2014-10-05,,,,,
2014-10-06,,,,,
2014-10-07,,,,,
2014-10-08,,,,,
2014-10-09,,,,,
2014-10-10,,,,,
2014-10-11,,,,,
2014-10-12,,,,,
2014-10-13,,,,,
2014-10-14,,,,,
2014-10-15,,,,,
2014-10-16,,,,,
2014-10-17,,,,,
2014-10-18,,,,,
