date,T_high,T_low,h_rain,h_snow,h_all_precip
2014-01-01,-10.0,-15.3,0.0,0.0,0.0
2014-01-02,-15.2,-20.0,0.0,10.0,0.8
2014-01-03,-9.2,-23.8,0.0,0.0,0.0
2014-01-04,-0.4,-9.2,0.0,4.0,0.4
2014-01-05,-0.1,-2.6,1.8,116.0,14.4
2014-01-06,-0.1,-17.5,4.0,12.0,5.2
2014-01-07,-17.3,-24.2,0.0,0.0,0.0
2014-01-08,-9.1,-17.5,0.0,0.0,0.0
2014-01-09,-6.2,-16.0,0.0,2.0,0.2
2014-01-10,2.7,-8.1,1.2,18.0,3.0
2014-01-11,6.8,1.6,7.8,0.0,7.8
2014-01-12,2.3,0.4,0.0,0.0,0.0
2014-01-13,7.5,0.5,1.0,0.0,1.0
2014-01-14,4.2,-0.6,0.0,0.0,0.0
2014-01-15,0.7,-5.9,0.0,0.0,0.0
2014-01-16,-0.9,-5.4,0.0,16.0,1.6
2014-01-17,1.4,-2.9,0.0,26.0,2.4
2014-01-18,-2.7,-8.5,0.0,6.0,0.6
2014-01-19,-2.7,-8.8,0.0,6.0,0.6
2014-01-20,-2.7,-17.3,0.0,10.0,0.8
2014-01-21,-16.9,-21.2,0.0,0.0,0.0
2014-01-22,-13.0,-23.5,0.0,0.0,0.0
2014-01-23,-14.0,-19.5,0.0,4.0,0.2
2014-01-24,-8.7,-19.6,0.0,6.0,0.6
2014-01-25,-3.3,-17.1,0.0,42.0,3.6
2014-01-26,-4.9,-18.1,0.0,14.0,1.0
2014-01-27,-4.8,-17.4,0.0,24.0,2.0
2014-01-28,-12.5,-20.3,0.0,0.0,0.0
2014-01-29,-10.1,-18.5,0.0,0.0,0.0
2014-01-30,-2.1,-13.1,0.2,4.0,0.4
2014-01-31,0.2,-4.3,0.0,0.0,0.0
2014-02-01,0.6,-3.7,0.0,110.0,12.4
2014-02-02,0.2,-8.4,0.0,0.0,0.0
2014-02-03,-4.0,-14.3,0.0,0.0,0.0
2014-02-04,-4.7,-15.7,0.0,10.0,1.0
2014-02-05,-6.3,-14.8,0.0,149.0,11.2
2014-02-06,-7.7,-17.1,0.0,0.0,0.0
2014-02-07,-10.2,-16.3,0.0,0.0,0.0
2014-02-08,-10.2,-18.0,0.0,4.0,0.4
2014-02-09,-8.3,-16.1,0.0,26.0,2.4
2014-02-10,-6.8,-13.4,0.0,0.0,0.0
2014-02-11,-9.8,-17.4,0.0,0.0,0.0
2014-02-12,-7.2,-21.3,0.0,0.0,0.0
2014-02-13,-2.5,-15.1,0.0,0.0,0.0
2014-02-14,-0.6,-7.0,0.0,2.0,0.2
2014-02-15,-3.8,-14.1,0.0,0.0,0.0
2014-02-16,-8.0,-15.4,0.0,4.0,0.4
2014-02-17,-3.2,-17.3,0.0,12.0,1.2
2014-02-18,-1.2,-4.7,0.0,44.0,4.2
2014-02-19,5.5,-6.3,0.2,0.0,0.2
2014-02-20,2.2,-3.0,11.2,32.0,15.0
2014-02-21,4.4,-0.8,5.6,0.0,5.6
2014-02-22,2.1,-2.3,0.0,0.0,0.0
2014-02-23,-1.1,-6.4,0.0,0.0,0.0
2014-02-24,-6.1,-10.5,0.0,0.0,0.0
2014-02-25,-7.0,-11.8,0.0,0.0,0.0
2014-02-26,-10.0,-15.8,0.0,0.0,0.0
2014-02-27,-9.4,-17.2,0.0,2.0,0.2
2014-02-28,-8.1,-19.8,0.0,0.0,0.0
