date,T_high,T_low,h_rain,h_snow,h_all_precip
2014-01-01,-32.1,-43.1,0.0,0.0,0.0
2014-01-02,-22.7,-32.1,0.0,46.0,4.4
2014-01-03,-24.9,-34.8,0.0,0.0,0.0
2014-01-04,-30.8,-37.0,0.0,0.0,0.0
2014-01-05,-30.4,-40.3,0.0,0.0,0.0
2014-01-06,-23.1,-30.4,0.0,0.0,0.2
2014-01-07,-22.0,-34.5,0.0,0.0,0.0
2014-01-08,-16.4,-22.1,0.0,24.0,1.8
2014-01-09,-19.0,-24.7,0.0,0.0,0.0
2014-01-10,-22.4,-30.2,0.0,46.0,3.2
2014-01-11,-25.3,-31.0,0.0,12.0,1.0
2014-01-12,-23.7,-35.0,0.0,4.0,0.4
2014-01-13,-23.5,-36.1,0.0,10.0,0.8
2014-01-14,-16.7,-39.0,0.0,70.0,6.6
2014-01-15,-14.2,-21.6,,26.0,1.8
2014-01-16,-13.8,-21.7,0.0,0.0,0.0
2014-01-17,-12.2,-18.9,0.4,40.0,4.0
2014-01-18,-17.4,-27.8,0.0,2.0,0.2
2014-01-19,-25.3,-28.1,0.0,24.0,2.2
2014-01-20,-19.9,-25.3,0.0,4.0,0.4
2014-01-21,-22.1,-31.0,0.0,0.0,0.0
2014-01-22,-18.3,-26.7,0.0,0.0,0.0
2014-01-23,-7.4,-19.3,0.0,6.0,0.4
2014-01-24,-15.3,-22.8,0.0,32.0,2.2
2014-01-25,-19.0,-30.8,0.0,8.0,0.6
2014-01-26,-29.4,-36.6,0.0,0.0,0.0
2014-01-27,-24.1,-36.0,0.0,0.0,0.0
2014-01-28,-18.1,-27.5,0.0,0.0,0.0
2014-01-29,-22.7,-29.3,,0.0,
2014-01-30,-18.5,-29.2,0.0,0.0,0.0
2014-01-31,-15.7,-18.5,0.0,0.0,0.0
2014-02-01,-16.7,-20.9,0.0,0.0,0.0
2014-02-02,-14.9,-20.5,0.2,14.0,1.2
2014-02-03,-18.0,-27.0,0.0,0.0,0.0
2014-02-04,-15.9,-23.0,0.0,0.0,0.0
2014-02-05,-19.1,-24.9,0.0,0.0,0.0
2014-02-06,-16.5,-27.6,0.0,2.0,0.2
2014-02-07,-22.6,-32.0,0.0,0.0,0.0
2014-02-08,-26.5,-36.8,0.0,2.0,0.2
2014-02-09,-25.4,-35.9,0.0,6.0,0.4
2014-02-10,-24.7,-35.8,0.0,0.0,0.0
2014-02-11,-26.5,-36.5,0.0,0.0,0.0
2014-02-12,-26.2,-38.2,0.0,0.0,0.0
2014-02-13,-24.5,-32.5,0.0,0.0,0.0
2014-02-14,-22.0,-35.0,0.0,0.0,0.0
2014-02-15,-16.5,-27.6,0.0,4.0,0.2
2014-02-16,-16.8,-27.8,0.0,0.0,0.0
2014-02-17,-15.5,-21.6,0.0,12.0,0.8
2014-02-18,-16.5,-21.3,0.0,96.0,2.6
2014-02-19,-21.2,-28.1,0.0,12.0,0.8
2014-02-20,-23.2,-31.8,0.0,0.0,0.0
2014-02-21,-24.9,-28.3,,,1.0
2014-02-22,-22.0,-33.8,0.0,0.0,0.0
2014-02-23,-24.7,-37.0,0.0,0.0,0.0
2014-02-24,-23.8,-33.8,0.0,0.0,0.0
2014-02-25,-18.9,-35.3,0.0,0.0,0.0
2014-02-26,-24.4,-32.3,0.0,2.0,0.2
2014-02-27,-25.6,-33.5,0.0,0.0,0.0
2014-02-28,-27.3,-39.1,0.0,0.0,0.0
2014-03-01,-25.4,-42.1,0.0,0.0,0.0
2014-03-02,-20.5,-39.6,0.0,0.0,0.0
2014-03-03,-19.5,-35.9,0.0,0.0,0.0
2014-03-04,-16.0,-34.9,0.0,0.0,0.0
2014-03-05,-13.5,-30.0,0.0,0.0,0.0
2014-03-06,-19.8,-32.9,0.0,0.0,0.0
2014-03-07,-17.9,-31.4,0.0,0.0,0.0
2014-03-08,-17.0,-32.7,0.0,0.0,0.0
2014-03-09,-15.4,-23.7,0.0,52.0,3.2
2014-03-10,-21.0,-25.9,0.0,0.0,0.0
2014-03-11,-13.9,-29.2,0.0,0.0,0.0
2014-03-12,-7.2,-19.7,0.0,0.0,0.0
2014-03-13,-12.2,-21.0,0.0,0.0,0.0
2014-03-14,-13.1,-24.7,0.0,0.0,0.0
2014-03-15,-7.3,-15.3,0.0,8.0,0.6
2014-03-16,-1.9,-11.5,0.0,0.0,0.0
2014-03-17,-5.8,-10.4,0.2,28.0,1.8
2014-03-18,-8.3,-18.3,0.0,4.0,0.2
2014-03-19,-15.1,-25.2,0.0,0.0,0.0
2014-03-20,-15.4,-29.5,0.0,0.0,0.0
2014-03-21,-13.4,-29.2,0.0,0.0,0.0
2014-03-22,-9.8,-28.2,0.0,0.0,0.0
2014-03-23,-11.9,-21.5,0.0,0.0,0.0
2014-03-24,-9.7,-25.1,0.0,0.0,0.0
2014-03-25,-13.8,-21.8,0.0,0.0,0.0
2014-03-26,-13.4,-27.2,0.0,0.0,0.0
2014-03-27,-11.0,-29.1,0.0,0.0,0.0
2014-03-28,-8.8,-23.2,0.0,0.0,0.0
2014-03-29,-22.5,-31.6,0.0,0.0,0.0
2014-03-30,-22.1,-35.2,0.0,0.0,0.0
2014-03-31,-10.0,-26.8,0.0,0.0,0.0
2014-04-01,-17.2,-26.2,0.0,0.0,0.0
2014-04-02,-17.1,-35.3,0.0,0.0,0.0
2014-04-03,-11.1,-30.5,0.0,0.0,0.0
2014-04-04,-9.8,-15.4,0.0,32.0,2.4
2014-04-05,-10.2,-23.9,0.0,0.0,0.0
2014-04-06,-9.1,-25.0,0.0,0.0,0.0
2014-04-07,-3.8,-21.9,0.0,0.0,0.0
2014-04-08,0.3,-7.8,0.6,16.0,1.6
2014-04-09,-3.0,-18.7,0.0,6.0,0.6
2014-04-10,,-26.0,0.0,0.0,0.0
2014-04-11,-10.4,-25.3,0.0,0.0,0.0
2014-04-12,-9.8,-18.7,0.0,0.0,0.0
2014-04-13,-10.2,-23.4,0.0,0.0,0.0
2014-04-14,-2.5,-16.3,0.0,0.0,0.0
2014-04-15,-3.1,-19.0,0.0,0.0,0.0
2014-04-16,-3.2,-17.5,0.0,0.0,0.0
2014-04-17,2.5,-15.6,0.0,0.0,0.0
2014-04-18,4.0,-5.7,0.0,0.0,0.0
2014-04-19,3.0,-5.1,0.0,0.0,0.0
2014-04-20,5.0,-0.8,0.0,0.0,0.0
2014-04-21,6.8,-5.9,0.0,0.0,0.0
2014-04-22,3.9,-3.8,0.0,0.0,0.0
2014-04-23,1.6,-6.2,0.0,0.0,0.0
2014-04-24,5.5,-9.4,0.0,0.0,0.0
2014-04-25,4.2,-9.4,0.0,0.0,0.0
2014-04-26,6.6,-6.6,0.0,0.0,0.0
2014-04-27,7.5,1.0,0.0,0.0,0.0
2014-04-28,8.0,-0.1,0.0,0.0,0.0
2014-04-29,10.8,-2.1,0.0,0.0,0.0
2014-04-30,14.2,3.6,0.0,0.0,0.0
2014-05-01,6.8,-6.4,0.0,10.0,1.2
2014-05-02,-1.0,-10.8,0.0,0.0,0.0
2014-05-03,0.3,-10.5,0.0,0.0,0.0
2014-05-04,-5.5,-14.6,0.0,0.0,0.0
2014-05-05,1.3,-12.8,0.0,0.0,0.0
2014-05-06,3.6,-9.1,0.0,0.0,0.0
2014-05-07,6.7,-4.8,0.0,0.0,0.0
2014-05-08,6.3,-4.0,0.0,0.0,0.0
2014-05-09,3.8,-4.5,0.0,0.0,0.0
2014-05-10,11.7,-2.6,0.0,0.0,0.0
2014-05-11,7.5,-3.4,0.0,0.0,0.0
2014-05-12,10.1,-2.7,0.0,0.0,0.0
2014-05-13,12.7,-0.8,0.0,0.0,0.0
2014-05-14,16.2,2.9,1.2,0.0,1.2
2014-05-15,6.9,0.3,0.8,0.0,0.8
2014-05-16,15.4,-0.4,0.0,0.0,0.0
2014-05-17,8.8,1.9,0.0,0.0,0.0
2014-05-18,15.1,3.2,0.0,0.0,0.0
2014-05-19,18.1,6.6,0.2,0.0,0.2
2014-05-20,16.6,7.7,12.6,0.0,12.6
2014-05-21,8.0,2.5,,0.0,
2014-05-22,8.8,2.8,0.6,0.0,0.6
2014-05-23,11.5,3.7,4.8,0.0,4.8
2014-05-24,8.8,2.3,0.0,0.0,0.0
2014-05-25,12.0,-0.7,0.0,0.0,0.0
2014-05-26,17.6,4.4,0.0,0.0,0.0
2014-05-27,20.3,5.8,1.0,0.0,1.0
2014-05-28,19.3,5.6,0.0,0.0,0.0
2014-05-29,17.5,6.9,0.0,0.0,0.0
2014-05-30,18.5,9.2,0.0,0.0,0.0
2014-05-31,15.1,1.9,0.0,0.0,0.0
2014-06-01,20.5,5.7,0.4,0.0,0.4
2014-06-02,14.9,4.6,0.0,0.0,0.0
2014-06-03,9.4,3.0,0.0,0.0,0.0
2014-06-04,10.3,1.0,0.0,0.0,0.0
2014-06-05,9.1,2.5,0.0,0.0,0.0
2014-06-06,13.7,2.0,0.0,0.0,0.0
2014-06-07,13.8,2.2,0.0,0.0,0.0
2014-06-08,15.9,0.8,0.0,0.0,0.0
2014-06-09,19.8,9.2,0.0,0.0,0.0
2014-06-10,21.6,6.2,0.0,0.0,0.0
2014-06-11,18.0,6.8,0.0,0.0,0.0
2014-06-12,16.4,6.0,0.0,0.0,0.0
2014-06-13,18.9,9.1,0.0,0.0,0.0
2014-06-14,22.5,9.4,0.0,0.0,0.0
2014-06-15,19.9,10.6,0.0,0.0,0.0
2014-06-16,25.5,9.2,0.0,0.0,0.0
2014-06-17,24.7,11.8,0.0,0.0,0.0
2014-06-18,22.8,12.0,0.0,0.0,0.0
2014-06-19,22.5,8.3,0.0,0.0,0.0
2014-06-20,23.8,14.3,0.0,0.0,0.0
2014-06-21,24.5,16.7,0.0,0.0,0.0
2014-06-22,18.7,11.9,3.8,0.0,3.8
2014-06-23,22.4,14.0,0.0,0.0,0.0
2014-06-24,26.5,14.8,0.0,0.0,0.0
2014-06-25,26.6,16.4,0.0,0.0,0.0
2014-06-26,24.4,12.1,0.0,0.0,0.0
2014-06-27,26.8,9.7,0.0,0.0,0.0
2014-06-28,27.1,12.9,0.0,0.0,0.0
2014-06-29,24.6,14.1,0.0,0.0,0.0
2014-06-30,22.6,14.4,0.0,0.0,0.0
2014-07-01,22.8,13.4,0.0,0.0,0.0
2014-07-02,25.2,12.4,0.0,0.0,0.0
2014-07-03,27.8,16.8,0.0,0.0,0.0
2014-07-04,25.9,14.8,4.4,0.0,4.4
2014-07-05,23.1,14.5,0.0,0.0,0.0
2014-07-06,25.9,12.0,0.0,0.0,0.0
2014-07-07,24.1,10.5,0.0,0.0,0.0
2014-07-08,17.5,9.5,1.4,0.0,1.4
2014-07-09,21.5,12.5,0.0,0.0,0.0
2014-07-10,23.1,13.5,0.0,0.0,0.0
2014-07-11,19.3,9.4,0.0,0.0,0.0
2014-07-12,19.0,7.0,0.0,0.0,0.0
2014-07-13,23.5,14.6,0.0,0.0,0.0
2014-07-14,25.2,15.4,0.0,0.0,0.0
2014-07-15,25.8,14.2,0.0,0.0,0.0
2014-07-16,22.7,13.1,0.0,0.0,0.0
2014-07-17,21.2,9.1,0.0,0.0,0.0
2014-07-18,19.3,3.6,0.0,0.0,0.0
2014-07-19,20.7,7.2,,0.0,
2014-07-20,21.5,8.9,0.0,0.0,0.0
2014-07-21,22.1,10.6,0.0,0.0,0.0
2014-07-22,24.2,12.7,0.0,0.0,0.0
2014-07-23,27.8,14.1,0.0,0.0,0.0
2014-07-24,26.4,17.1,0.0,0.0,0.0
2014-07-25,27.7,17.0,,0.0,
2014-07-26,26.7,16.6,0.0,0.0,0.0
2014-07-27,24.7,15.6,0.0,0.0,0.0
2014-07-28,27.2,15.3,0.0,0.0,0.0
2014-07-29,29.6,15.7,0.0,0.0,0.0
2014-07-30,28.0,12.8,8.8,0.0,8.8
2014-07-31,13.3,7.4,0.0,0.0,0.0
2014-08-01,16.8,2.5,0.0,0.0,0.0
2014-08-02,22.7,9.8,0.0,0.0,0.0
2014-08-03,24.4,11.4,0.0,0.0,0.0
2014-08-04,23.6,11.6,0.0,0.0,0.0
2014-08-05,21.8,16.1,4.8,0.0,4.8
2014-08-06,19.3,13.2,2.2,0.0,2.2
2014-08-07,14.3,11.8,0.0,0.0,0.0
2014-08-08,15.3,6.4,0.0,0.0,0.0
2014-08-09,17.4,5.2,0.0,0.0,0.0
2014-08-10,19.3,9.2,0.0,0.0,0.0
2014-08-11,20.6,10.8,0.0,0.0,0.0
2014-08-12,23.3,11.9,1.6,0.0,1.6
2014-08-13,26.6,15.1,0.0,0.0,0.0
2014-08-14,16.2,12.3,0.0,0.0,0.0
2014-08-15,22.5,12.0,0.0,0.0,0.0
2014-08-16,22.5,13.6,10.4,0.0,10.4
2014-08-17,17.4,11.9,0.0,0.0,0.0
2014-08-18,11.9,8.6,15.4,0.0,15.4
2014-08-19,10.9,7.1,0.4,0.0,0.4
2014-08-20,15.6,3.6,,0.0,
2014-08-21,17.4,2.7,0.0,0.0,0.0
2014-08-22,17.0,4.0,0.0,0.0,0.0
2014-08-23,19.1,8.4,0.0,0.0,0.0
2014-08-24,17.2,9.4,0.0,0.0,0.0
2014-08-25,19.1,10.6,0.0,0.0,0.0
2014-08-26,19.3,12.4,0.0,0.0,0.0
2014-08-27,12.8,7.5,23.4,0.0,23.4
2014-08-28,13.7,3.4,0.0,0.0,0.0
2014-08-29,16.4,4.9,0.0,0.0,0.0
2014-08-30,14.0,9.9,2.4,0.0,2.4
2014-08-31,14.1,9.9,1.2,0.0,1.2
2014-09-01,13.2,9.2,3.4,0.0,3.4
2014-09-02,15.2,6.8,0.0,0.0,0.0
2014-09-03,14.6,5.8,0.4,0.0,0.4
2014-09-04,11.5,1.0,0.8,0.0,0.8
2014-09-05,11.7,-2.2,0.0,0.0,0.0
2014-09-06,8.8,-1.5,0.0,0.0,0.0
2014-09-07,5.2,-0.9,0.0,0.0,0.0
2014-09-08,4.6,-1.6,0.0,0.0,0.0
