"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"TORONTO","ON"," 43°40'00.000"" N"," 79°24'00.000"" W","112.5 m","6158350","71266",""

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-3.7","-2.6","1.4","7.9","14.1","19.4","22.3","21.5","17.2","10.7","4.9","-0.5","9.4","C"
"Standard Deviation","2.8","2.2","1.7","1.4","1.8","1.3","1.4","1.3","1.4","1.2","1.4","2.7","1.3","C"
"Daily Maximum (°C)","-0.7","0.4","4.7","11.5","18.4","23.8","26.6","25.5","21.0","14.0","7.5","2.1","12.9","C"
"Daily Minimum (°C)","-6.7","-5.6","-1.9","4.1","9.9","14.9","18.0","17.4","13.4","7.4","2.3","-3.1","5.9","C"
"Extreme Maximum (°C)","16.1","14.4","26.7","32.2","34.4","36.7","40.6","38.9","37.8","30.0","23.9","19.9","",""
"Date (yyyy/dd)","1967/25","1976/25","1946/28","1842/22","1962/18","1964/30","1936/08","1918/13","1953/02","1963/07","1950/01","1982/03",""," "
"Extreme Minimum (°C)","-32.8","-31.7","-26.7","-15.0","-3.9","-2.2","3.9","4.4","-2.2","-8.9","-20.6","-30.0","",""
"Date (yyyy/dd)","1859/10","1855/05","1868/03","1923/01","1854/06","1842/10","1843/12","1855/18","1842/22","1844/31","1875/30","1933/29",""," "
"Precipitation"
"Rainfall (mm)","29.1","29.7","33.6","61.1","82.0","70.9","63.9","81.1","84.7","64.3","75.4","38.2","714.0","C"
"Snowfall (cm)","37.2","27.0","19.8","5.0","0.0","0.0","0.0","0.0","0.0","0.1","8.3","24.1","121.5","C"
"Precipitation (mm)","61.5","55.4","53.7","68.0","82.0","70.9","63.9","81.1","84.7","64.4","84.1","61.5","831.1","C"
"Average Snow Depth (cm)","7","6","3","0","0","0","0","0","0","0","0","2","2","D"
"Median Snow Depth (cm)","6","6","2","0","0","0","0","0","0","0","0","2","1","D"
"Snow Depth at Month-end (cm)","7","5","1","0","0","0","0","0","0","0","0","4","1","C"
"Extreme Daily Rainfall (mm)","63.5","43.4","43.7","59.7","68.6","63.5","98.6","93.5","87.9","86.9","79.5","49.5","",""
"Date (yyyy/dd)","1843/31","1855/13","1881/19","1850/03","1894/21","1957/28","1897/27","1905/15","1843/14","1954/15","1861/02","1870/05",""," "
"Extreme Daily Snowfall (cm)","39.9","45.7","40.6","21.1","7.6","0.0","0.0","0.0","0.0","12.2","30.5","48.3","",""
"Date (yyyy/dd)","1966/23","1846/20","1870/27","1901/20","1875/01","1840/01","1840/01","1840/01","1840/01","1969/21","1950/24","1944/11",""," "
"Extreme Daily Precipitation (mm)","52.3","52.6","43.7","59.7","68.6","63.5","98.6","93.5","87.9","86.9","79.5","49.5","",""
"Date (yyyy/dd)","1932/01","1965/25","1881/19","1850/03","1894/21","1957/28","1897/27","1905/15","1843/14","1954/15","1861/02","1870/05",""," "
"Extreme Snow Depth (cm)","65","38","33","19","3","0","0","0","0","13","20","41","",""
"Date (yyyy/dd)","1999/15","1971/14","2005/02","1979/09","1963/01","1955/01","1955/01","1955/01","1955/01","1969/21","1997/16","1977/12",""," "
"Days with Maximum Temperature"
"<= 0 °C","15.6","12.5","6.7","0.39","0.0","0.0","0.0","0.0","0.0","0.0","1.1","9.6","45.9","C"
"> 0 °C","15.4","15.7","24.3","29.6","31.0","30.0","31.0","31.0","30.0","31.0","28.9","21.5","319.4","C"
"> 10 °C","0.70","0.65","5.2","17.3","30.0","30.0","31.0","31.0","30.0","25.1","8.6","1.7","211.1","C"
"> 20 °C","0.0","0.0","0.48","2.3","10.5","23.7","30.2","29.5","17.3","3.2","0.14","0.0","117.2","C"
"> 30 °C","0.0","0.0","0.0","0.09","0.43","2.5","5.4","2.7","0.64","0.0","0.0","0.0","11.8","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.13","0.45","0.14","0.0","0.0","0.0","0.0","0.72","C"
"Days with Minimum Temperature"
"> 0 °C","4.6","6.0","12.5","25.6","31.0","30.0","31.0","31.0","30.0","30.3","21.6","10.9","264.4","C"
"<= 2 °C","29.0","25.9","24.0","9.4","0.22","0.0","0.0","0.0","0.0","2.6","14.2","25.9","131.2","C"
"<= 0 °C","26.4","22.3","18.5","4.4","0.0","0.0","0.0","0.0","0.0","0.73","8.4","20.1","100.8","C"
"< -2 °C","22.8","19.3","14.3","1.7","0.0","0.0","0.0","0.0","0.0","0.05","4.2","15.9","78.2","C"
"< -10 °C","9.1","6.6","2.4","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.09","3.7","21.9","C"
