"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*YELLOWKNIFE A","NT"," 62°27'46.000"" N","114°26'25.000"" W","205.7 m","2204100","71936","YZF"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-25.6","-22.9","-16.8","-5.3","4.6","13.3","17.0","14.2","7.2","-1.7","-13.7","-21.8","-4.3","A"
"Standard Deviation","4.6","4.0","3.5","2.8","2.7","1.2","1.3","1.6","1.7","2.1","4.3","4.9","1.5","A"
"Daily Maximum (°C)","-21.6","-18.1","-10.8","0.4","9.7","18.1","21.3","18.1","10.4","0.9","-10.0","-17.8","0.0","A"
"Daily Minimum (°C)","-29.5","-27.5","-22.7","-11.0","-0.5","8.5","12.6","10.2","4.0","-4.2","-17.5","-25.7","-8.6","A"
"Extreme Maximum (°C)","3.4","6.2","9.3","20.3","26.1","30.3","32.5","30.9","26.1","19.0","7.8","2.8","",""
"Date (yyyy/dd)","1985/03","1986/28","1993/23","1980/28","1948/31","1990/23","1989/16","1984/02","1951/06","1988/05","1956/23","1944/13",""," "
"Extreme Minimum (°C)","-51.2","-51.2","-43.3","-40.6","-22.8","-4.4","0.6","-0.6","-9.7","-28.9","-44.4","-48.3","",""
"Date (yyyy/dd)","1947/31","1947/01","1955/02","1967/02","1959/01","1967/03","1951/12","1982/25","1983/29","1972/26","1966/27","1946/25",""," "
"Precipitation"
"Rainfall (mm)","0.1","0.0","0.2","2.5","13.8","28.9","40.8","39.2","32.7","12.1","0.3","0.2","170.7","A"
"Snowfall (cm)","19.7","20.0","18.5","10.3","4.7","0.0","0.0","0.1","3.5","20.9","36.5","23.5","157.6","A"
"Precipitation (mm)","14.3","14.1","13.9","11.3","18.4","28.9","40.8","39.3","36.3","30.3","24.8","16.2","288.6","A"
"Average Snow Depth (cm)","28","34","38","22","0","0","0","0","0","2","14","23","13","C"
"Median Snow Depth (cm)","27","34","38","23","0","0","0","0","0","2","14","23","13","C"
"Snow Depth at Month-end (cm)","31","38","37","3","0","0","0","0","1","6","19","26","13","C"
"Extreme Daily Rainfall (mm)","0.8","0.8","3.0","14.4","34.0","33.6","66.0","82.8","29.7","35.6","7.1","2.2","",""
"Date (yyyy/dd)","2006/23","1991/05","1993/23","1996/06","1957/05","1988/28","1988/22","1973/15","1982/07","1967/11","1954/21","1985/20",""," "
"Extreme Daily Snowfall (cm)","16.4","23.7","16.2","13.0","11.2","3.0","0.0","1.0","15.2","16.0","15.0","20.2","",""
"Date (yyyy/dd)","2007/06","1982/20","1997/20","1981/07","1979/28","1967/07","1942/01","1982/23","1961/28","1975/29","2006/10","2001/17",""," "
"Extreme Daily Precipitation (mm)","14.2","17.5","12.4","14.4","34.0","33.6","66.0","82.8","29.7","35.6","12.2","11.4","",""
"Date (yyyy/dd)","2001/03","1982/20","1995/12","1996/06","1957/05","1988/28","1988/22","1973/15","1982/07","1967/11","1942/22","1958/31",""," "
"Extreme Snow Depth (cm)","69","76","81","69","30","0","0","0","15","33","43","58","",""
"Date (yyyy/dd)","1958/31","1958/27","1958/05","1957/01","1972/03","1955/01","1955/01","1955/01","1961/29","1959/18","1975/25","1974/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","30.8","28.0","28.3","14.1","1.9","0.0","0.0","0.0","0.44","12.6","28.2","30.9","175.2","A"
